Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2012/13,Boston,F,"Bergeron, Patrice",Concussion,5,365.853658537,6,6
2012/13,Boston,F,"Marchand, Brad",Concussion,2.5,60.975609756,2,2
2012/13,Boston,F,"Thornton, Shawn",Concussion,1.1,26.829268293,2,2
2012/13,Carolina,F,"LaRose, Chad",Concussion,1.7,207.317073171,10,10
2012/13,Carolina,F,"Semin, Alexander",Concussion,7,170.731707317,2,2
2012/13,Carolina,F,"Skinner, Jeff",Concussion,1.4,85.365853659,5,5
2012/13,Chicago,D,"Montador, Steve",Concussion,2.75,871.951219512,26,26
2012/13,Columbus,D,"Wisniewski, James",Concussion,5.5,134.146341463,2,2
2012/13,Detroit,F,"Eaves, Patrick",Concussion,1.2,14.634146341,1,1
2012/13,Edmonton,F,"Eager, Ben",Concussion,1.1,120.731707317,9,9
2012/13,Florida,F,"Selleck, Eric",Concussion,0.55,107.317073171,16,16
2012/13,Florida,D,"Weaver, Mike",Concussion,1.1,13.414634146,1,1
2012/13,Montreal,F,"Bourque, René",Concussion,3.333,853.573170732,21,21
2012/13,Montreal,F,"Gallagher, Brendan",Concussion,0.87,31.829268293,3,3
2012/13,Montreal,D,"Díaz, Raphael",Concussion,1.225,373.475609756,25,25
2012/13,NY Rangers,F,"Powe, Darroll",Concussion,1.067,39.036585366,3,3
2012/13,Ottawa,F,"Dziurzynski, David",Concussion,0.6,51.219512195,7,7
2012/13,Ottawa,D,"Lundin, Mike",Concussion,1.15,112.195121951,8,8
2012/13,Philadelphia,F,"Brière, Daniel",Concussion,6.5,792.682926829,10,10
2012/13,Philadelphia,F,"Simmonds, Wayne",Concussion,1.75,64.024390244,3,3
2012/13,Philadelphia,D,"Bourdon, Marc-André",Concussion,0.613,358.829268293,48,48
2012/13,Philadelphia,D,"Grossmann, Nicklas",Concussion,3.5,768.292682927,18,18
2012/13,Philadelphia,D,"Huskins, Kent",Concussion,0.75,54.878048780,6,6
2012/13,Phoenix,F,"Klinkhammer, Rob",Concussion,0.65,7.926829268,1,1
2012/13,Pittsburgh,F,"Malkin, Evgeni",Concussion,8.7,424.390243902,4,4
2012/13,Pittsburgh,F,"Neal, James",Concussion,5,487.804878049,8,8
2012/13,St. Louis,F,"Tarasenko, Vladimir",Concussion,1.75,213.414634146,10,10
2012/13,Toronto,F,"Lupul, Joffrey",Concussion,4.25,259.146341463,5,5
2012/13,Toronto,D,"Gardiner, Jake",Concussion,1.117,27.243902439,2,2
2012/13 (playoffs),Minnesota,F,"Pominville, Jason",Concussion,4.505,164.817073171,3,3
2012/13 (playoffs),Montreal,F,"Eller, Lars",Concussion,1.15,56.097560976,4,4
2013/14,Anaheim,F,"Koivu, Saku",Concussion,3.5,640.243902439,15,15
2013/14,Anaheim,F,"Penner, Dustin",Concussion,2,121.951219512,5,5
2013/14,Boston,F,"Eriksson, Loui",Concussion,4.25,259.146341463,5,5
2013/14,Boston,F,"Eriksson, Loui",Concussion,4.25,777.439024390,15,15
2013/14,Boston,F,"Paille, Daniel",Concussion,1.3,31.707317073,2,2
2013/14,Boston,F,"Paille, Daniel",Concussion,1.3,110.975609756,7,7
2013/14,Boston,D,"Hamilton, Dougie",Concussion,1.494167,72.886195122,4,4
2013/14,Buffalo,G,"Lieuwen, Nathan",Concussion,0.588333,28.699170732,4,4
2013/14,Calgary,F,"Cammalleri, Mike",Concussion,6,658.536585366,9,9
2013/14,Carolina,F,"Semin, Alexander",Concussion,7,1024.390243902,12,12
2013/14,Carolina,D,"Bellemore, Brett",Concussion,0.6,43.902439024,6,6
2013/14,Carolina,D,"Gleason, Tim",Concussion,4,487.804878049,10,10
2013/14,Carolina,D,"Harrison, Jay",Concussion,1.5,109.756097561,6,6
2013/14,Colorado,F,"Mitchell, John",Concussion,1.1,53.658536585,2,2
2013/14,Dallas,F,"Seguin, Tyler",Concussion,5.75,140.243902439,2,2
2013/14,Dallas,D,"Gonchar, Sergei",Concussion,5,365.853658537,6,6
2013/14,Dallas,G,"Lehtonen, Kari",Concussion,5.9,215.853658537,3,3
2013/14,Detroit,F,"Franzén, Johan",Concussion,3.954545,289.356951220,6,6
2013/14,Detroit,D,"Kronwall, Niklas",Concussion,4.75,115.853658537,2,2
2013/14,Edmonton,G,"Bryzgalov, Ilya",Concussion,2.266234,165.822,6,6
2013/14,Florida,F,"Bjugstad, Nick",Concussion,1.1,67.073170732,5,5
2013/14,Florida,F,"Huberdeau, Jonathan",Concussion,3.194167,428.485817073,11,11
2013/14,Florida,F,"Kopecký, Tomáš",Concussion,3,878.048780488,24,24
2013/14,Los Angeles,F,"Fraser, Colin",Concussion,0.825,30.182926829,3,3
2013/14,Los Angeles,D,"Greene, Matt",Concussion,2.95,215.853658537,6,6
2013/14,Minnesota,D,"Ballard, Keith",Concussion,1.5,128.048780488,7,7
2013/14,Minnesota,G,"Bäckström, Niklas",Concussion,3.416667,166.666682927,4,4
2013/14,Montreal,F,"Bournival, Michaël",Concussion,0.87,148.536585366,14,14
